Species,Peak Freq (Hz),Q1 Freq (Hz),Q3 Freq (Hz),IQR BW (Hz),Freq 5% (Hz),Freq 95% (Hz),BW 90% (Hz)
CLRA,2742.2,2484.4,2953.1,468.8,1851.6,3632.8,1781.2
CLRA,3000,2648.4,3070.3,421.9,1945.3,3960.9,2015.6
CLRA,2203.1,2015.6,2671.9,656.2,1828.1,3070.3,1242.2
CLRA,2882.8,2226.6,2882.8,656.2,1851.6,3187.5,1335.9
CLRA,2718.8,2507.8,2765.6,257.8,2250,3164.1,914.1
CLRA,2250,2273.4,3000,726.6,2039.1,3328.1,1289.1
CLRA,4664.1,2789.1,4640.6,1851.6,1828.1,4851.6,3023.4
CLRA,2765.6,2507.8,2789.1,281.2,2015.6,4828.1,2812.5
CLRA,2671.9,2671.9,4078.1,1406.2,1781.2,4640.6,2859.4
CLRA,2812.5,2742.2,3585.9,843.8,1757.8,4710.9,2953.1
CLRA,2742.2,2648.4,3375,726.6,1664.1,4453.1,2789.1
CLRA,2789.1,2601.6,3187.5,585.9,1828.1,4640.6,2812.5
CLRA,2437.5,2437.5,3093.8,656.2,2296.9,4429.7,2132.8
CLRA,2859.4,2671.9,3023.4,351.6,2531.2,4593.8,2062.5
CLRA,3351.6,1781.2,3351.6,1570.3,1500,4593.8,3093.8
CLRA,3562.5,2765.6,3585.9,820.3,2085.9,4781.2,2695.3
CLRA,3210.9,2179.7,3468.8,1289.1,1851.6,4359.4,2507.8
CLRA,2906.2,2812.5,3539.1,726.6,2320.3,4101.6,1781.2
CLRA,2718.8,2625,3632.8,1007.8,2296.9,4617.2,2320.3
CLRA,2718.8,2718.8,3773.4,1054.7,2039.1,4007.8,1968.8
CLRA,3328.1,2296.9,3328.1,1031.2,1617.2,4687.5,3070.3
CLRA,2742.2,2671.9,3585.9,914.1,2226.6,4078.1,1851.6
CLRA,2695.3,2578.1,2789.1,210.9,2320.3,4500,2179.7
CLRA,2601.6,2343.8,3257.8,914.1,1945.3,3609.4,1664.1
CLRA,2437.5,2296.9,3257.8,960.9,1921.9,3585.9,1664.1
CLRA,3304.7,2132.8,3304.7,1171.9,1898.4,3937.5,2039.1
CLRA,1968.8,1992.2,2484.4,492.2,1898.4,3234.4,1335.9
CLRA,2882.8,2109.4,2882.8,773.4,1757.8,3187.5,1429.7
CLRA,2718.8,2625,3093.8,468.8,2132.8,3234.4,1101.6
CLRA,2929.7,2343.8,2953.1,609.4,1898.4,3750,1851.6
CLRA,2812.5,2742.2,3539.1,796.9,1664.1,4335.9,2671.9
CLRA,2859.4,2718.8,2906.2,187.5,1945.3,4710.9,2765.6
CLRA,3585.9,3164.1,4054.7,890.6,2039.1,4476.6,2437.5
CLRA,3117.2,2203.1,3304.7,1101.6,1828.1,4593.8,2765.6
CLRA,2718.8,2578.1,3328.1,750,1687.5,4593.8,2906.2
CLRA,2484.4,2484.4,3117.2,632.8,1757.8,4523.4,2765.6
CLRA,2460.9,2531.2,3281.2,750,2343.8,4429.7,2085.9
CLRA,2671.9,2648.4,2859.4,210.9,2507.8,3914.1,1406.2
CLRA,1804.7,1804.7,3164.1,1359.4,1546.9,4781.2,3234.4
CLRA,2578.1,2578.1,3234.4,656.2,2367.2,4007.8,1640.6
CLRA,3375,3351.6,4500,1148.4,2179.7,4828.1,2648.4
CLRA,4242.2,3000,4195.3,1195.3,2296.9,4406.2,2109.4
CLRA,2601.6,2531.2,3187.5,656.2,2273.4,4640.6,2367.2
CLRA,2929.7,2742.2,3960.9,1218.8,2109.4,4945.3,2835.9
CLRA,2625,2132.8,3117.2,984.4,1617.2,4710.9,3093.8
CLRA,2648.4,2648.4,3492.2,843.8,2015.6,4640.6,2625
CLRA,2671.9,2648.4,2835.9,187.5,2179.7,4523.4,2343.8
CLRA,2625,2343.8,3398.4,1054.7,1875,3609.4,1734.4
CLRA,2648.4,2414.1,3070.3,656.2,1921.9,3750,1828.1
CLRA,3000,2132.8,3351.6,1218.8,1968.8,4265.6,2296.9
CLRA,2179.7,2156.2,2671.9,515.6,1828.1,2882.8,1054.7
CLRA,2929.7,2250,2906.2,656.2,1875,3093.8,1218.8
CLRA,2742.2,2648.4,2789.1,140.6,2250,3210.9,960.9
CLRA,2343.8,2343.8,2929.7,585.9,2015.6,3445.3,1429.7
CLRA,2625,2226.6,3375,1148.4,1664.1,4734.4,3070.3
CLRA,2742.2,2109.4,2882.8,773.4,1851.6,3984.4,2132.8
CLRA,2507.8,2460.9,2718.8,257.8,1570.3,4312.5,2742.2
CLRA,3960.9,2554.7,3960.9,1406.2,1828.1,4687.5,2859.4
CLRA,2718.8,2625,3234.4,609.4,1710.9,4593.8,2882.8
CLRA,2812.5,2507.8,2929.7,421.9,1781.2,4734.4,2953.1
CLRA,2625,2460.9,3070.3,609.4,2179.7,4148.4,1968.8
CLRA,2671.9,2625,2953.1,328.1,2226.6,4640.6,2414.1
CLRA,1546.9,1781.2,3351.6,1570.3,1546.9,4476.6,2929.7
CLRA,2507.8,2507.8,3421.9,914.1,1710.9,4335.9,2625
CLRA,3304.7,2953.1,3585.9,632.8,1898.4,4218.8,2320.3
CLRA,3421.9,2718.8,3468.8,750,2296.9,4265.6,1968.8
CLRA,4640.6,2742.2,4429.7,1687.5,2273.4,4710.9,2437.5
CLRA,3468.8,3117.2,3937.5,820.3,2320.3,4968.8,2648.4
CLRA,2460.9,2390.6,3398.4,1007.8,1734.4,4664.1,2929.7
CLRA,2765.6,2648.4,3492.2,843.8,2085.9,3890.6,1804.7
CLRA,2718.8,2648.4,2765.6,117.2,2414.1,4593.8,2179.7
CLRA,2484.4,2367.2,3304.7,937.5,1828.1,3585.9,1757.8
CLRA,2273.4,2367.2,3445.3,1078.1,2203.1,3656.2,1453.1
CLRA,3046.9,2320.3,3210.9,890.6,1921.9,4031.2,2109.4
CLRA,2695.3,2250,2835.9,585.9,1617.2,3351.6,1734.4
CLRA,2859.4,2835.9,2929.7,93.8,2273.4,3046.9,773.4
CLRA,2789.1,2648.4,2789.1,140.6,2226.6,3023.4,796.9
CLRA,2484.4,2085.9,2625,539.1,1828.1,3000,1171.9
CLRA,2601.6,2601.6,4335.9,1734.4,1851.6,4804.7,2953.1
CLRA,2765.6,2601.6,2882.8,281.2,2085.9,4195.3,2109.4
CLRA,2507.8,2460.9,2695.3,234.4,1640.6,4125,2484.4
CLRA,2226.6,2226.6,3585.9,1359.4,1804.7,4757.8,2953.1
CLRA,3234.4,2507.8,3257.8,750,1640.6,4640.6,3000
CLRA,2578.1,2507.8,3164.1,656.2,1734.4,4617.2,2882.8
CLRA,2507.8,2507.8,3210.9,703.1,2343.8,4171.9,1828.1
CLRA,2671.9,2648.4,2859.4,210.9,2507.8,4617.2,2109.4
CLRA,2578.1,1898.4,3234.4,1335.9,1687.5,4593.8,2906.2
CLRA,2531.2,2554.7,3820.3,1265.6,1710.9,4828.1,3117.2
CLRA,3164.1,2859.4,3585.9,726.6,1898.4,3914.1,2015.6
CLRA,3023.4,2953.1,3937.5,984.4,2390.6,4523.4,2132.8
CLRA,2625,2601.6,3445.3,843.8,2484.4,4640.6,2156.2
CLRA,2929.7,2906.2,3867.2,960.9,2671.9,4921.9,2250
CLRA,2648.4,2250,3164.1,914.1,1640.6,4757.8,3117.2
CLRA,2718.8,2695.3,3585.9,890.6,2085.9,4148.4,2062.5
CLRA,2648.4,2531.2,2906.2,375,2109.4,4921.9,2812.5
CLRA,3515.6,2531.2,3468.8,937.5,1804.7,3632.8,1828.1
CLRA,3773.4,2648.4,3609.4,960.9,2132.8,3796.9,1664.1
CLRA,3585.9,2156.2,3468.8,1312.5,1640.6,4171.9,2531.2
CLRA,2765.6,2250,2789.1,539.1,1781.2,3164.1,1382.8
CLRA,2906.2,2414.1,2906.2,492.2,2062.5,3093.8,1031.2
CLRA,2742.2,2695.3,3093.8,398.4,2273.4,3281.2,1007.8
CLRA,3070.3,2296.9,3070.3,773.4,2015.6,3796.9,1781.2
CLRA,3281.2,2625,3585.9,960.9,1968.8,4710.9,2742.2
CLRA,2906.2,2414.1,3164.1,750,1851.6,4757.8,2906.2
CLRA,2531.2,2460.9,2718.8,257.8,1593.8,4078.1,2484.4
CLRA,3304.7,2742.2,3750,1007.8,1851.6,4640.6,2789.1
CLRA,2765.6,2578.1,3304.7,726.6,1687.5,4335.9,2648.4
CLRA,2859.4,2460.9,3210.9,750,1781.2,4617.2,2835.9
CLRA,2601.6,2578.1,3281.2,703.1,2343.8,4406.2,2062.5
CLRA,2671.9,2625,2882.8,257.8,2414.1,3890.6,1476.6
CLRA,1593.8,1734.4,3609.4,1875,1570.3,4476.6,2906.2
CLRA,3632.8,2671.9,3796.9,1125,2343.8,4453.1,2109.4
CLRA,3164.1,2953.1,3257.8,304.7,1875,3937.5,2062.5
CLRA,2953.1,2929.7,3914.1,984.4,2320.3,4406.2,2085.9
CLRA,2554.7,2578.1,3445.3,867.2,2367.2,4640.6,2273.4
CLRA,3656.2,3468.8,3843.8,375,2718.8,4101.6,1382.8
CLRA,2648.4,1945.3,3257.8,1312.5,1640.6,4734.4,3093.8
CLRA,2718.8,2695.3,3515.6,820.3,2085.9,3750,1664.1
CLRA,2484.4,2484.4,2906.2,421.9,1945.3,4945.3,3000
CLRA,2414.1,2414.1,3210.9,796.9,1968.8,3703.1,1734.4
CLRA,3023.4,2859.4,3398.4,539.1,2460.9,3937.5,1476.6
CLRA,2554.7,2273.4,3445.3,1171.9,1898.4,4382.8,2484.4
CLRA,2882.8,2179.7,2882.8,703.1,1828.1,3398.4,1570.3
CLRA,2882.8,2250,2906.2,656.2,1804.7,3187.5,1382.8
CLRA,2882.8,2507.8,3023.4,515.6,2226.6,3304.7,1078.1
CLRA,2812.5,2296.9,2812.5,515.6,1828.1,3492.2,1664.1
CLRA,3468.8,2835.9,4289.1,1453.1,1898.4,4851.6,2953.1
